Question,Answer,Chapter,Book
The primary Ca2+ entry pathways in ribbon synapses are CaV2.1 and CaV2.2 channels.,FALSE,6,Organic_Synthesis_2008
AMPA and kainate receptors are types of glutamate receptor ion channels that mediate excitatory responses in the brain.,TRUE,7,Organic_Synthesis_2008
The structure of ionotropic glutamate receptors (iGluRs) was well understood when their genes were first cloned in the 1980s.,FALSE,7,Organic_Synthesis_2008
iGluRs are modular proteins with domains that share structural similarities with bacterial proteins.,TRUE,7,Organic_Synthesis_2008
AMPA receptors typically assemble as pentamers to form functional ion channels.,FALSE,7,Organic_Synthesis_2008
The ligand binding domain of iGluRs functions despite being split into two halves by the membrane-embedded ion channel segment.,TRUE,7,Organic_Synthesis_2008
The "Venus flytrap" mechanism of the bacterial periplasmic binding proteins provided a precedent for understanding iGluR activation.,TRUE,7,Organic_Synthesis_2008
"In AMPA receptors, the agonist binding site resides at the interface between subunits, similar to cys-loop ligand-gated ion channels.",FALSE,7,Organic_Synthesis_2008
"Desensitization of iGluRs occurs when the dimer interface undergoes a collapse, despite glutamate still being bound.",TRUE,7,Organic_Synthesis_2008
The deletion of the amino-terminal domain (ATD) in AMPA receptors disrupts both activation and desensitization.,FALSE,7,Organic_Synthesis_2008
Structural studies suggest that partial agonists trigger a smaller degree of ligand binding domain closure compared to full agonists.,TRUE,7,Organic_Synthesis_2008
"Among all types of epilepsy, limbic epilepsy is the most devastating and accounts for 60% of all epilepsies.",FALSE,8,Organic_Synthesis_2008
Antiseizure drugs provide symptomatic relief but fail to prevent or cure epilepsy.,TRUE,8,Organic_Synthesis_2008
"In the kindling model, repeated focal seizures triggered by low-intensity electrical stimulations can lead to progressively more severe seizures.",TRUE,8,Organic_Synthesis_2008
The "dentate gate" in the hippocampal formation completely prevents seizure propagation in patients with limbic epilepsy.,FALSE,8,Organic_Synthesis_2008
CA3 pyramidal cells are particularly prone to seizure activity due to their sparse excitatory synaptic connections.,FALSE,8,Organic_Synthesis_2008
High-frequency stimulation of mossy fibers induces LTP of mossy fiber-CA3 synapses and LTD of mossy fiber-interneuron synapses simultaneously.,TRUE,8,Organic_Synthesis_2008
The activation of TrkB signaling is not required for LTP at mossy fiber-CA3 synapses.,FALSE,8,Organic_Synthesis_2008
"Studies suggest that neurogenesis of granule cells accelerates after limbic seizures, but the impact of this on excitability is still uncertain.",TRUE,8,Organic_Synthesis_2008
Interneurons in stratum lucidum are highly resistant to death in models of status epilepticus.,FALSE,8,Organic_Synthesis_2008
The dentate granule cells primarily serve an inhibitory role in limiting the spread of seizures through the hippocampal circuitry.,TRUE,8,Organic_Synthesis_2008
The trafficking of molecular components is critical for the development of synaptic plasticity.,TRUE,9,Organic_Synthesis_2008
"The postsynaptic density is composed of receptors, scaffold proteins, and signaling molecules.",TRUE,9,Organic_Synthesis_2008
Dendritic spines can simultaneously connect to more than one presynaptic terminal.,TRUE,9,Organic_Synthesis_2008
Long-term potentiation (LTP) and depression (LTD) are functions of synaptic plasticity involving postsynaptic receptor trafficking.,TRUE,9,Organic_Synthesis_2008
Recycling endosomes are involved in the rapid reinsertion of postsynaptic receptors into the plasma membrane.,TRUE,9,Organic_Synthesis_2008
Excitatory synapses in the brain are mostly localized on dendritic spines.,TRUE,10,Organic_Synthesis_2008
Inhibitory synapses are typically localized on dendritic spines instead of the dendritic shaft.,FALSE,10,Organic_Synthesis_2008
"Dendritic spines contain the postsynaptic density (PSD), which is rich in receptors, scaffold proteins, and signaling molecules.",TRUE,10,Organic_Synthesis_2008
Dendrites lack the ability to modify their molecular composition based on patterns of neural activity and developmental stages.,FALSE,10,Organic_Synthesis_2008
"Neurons possess surface areas up to 10,000 times greater than typical mammalian cells.",TRUE,10,Organic_Synthesis_2008
The postsynaptic density (PSD) is primarily located at presynaptic terminals.,FALSE,10,Organic_Synthesis_2008
Synaptic plasticity and neural development require specialized mechanisms for long-range molecular transport in dendrites.,TRUE,10,Organic_Synthesis_2008
Dendritic spines are not involved in forming contacts with presynaptic terminals.,FALSE,10,Organic_Synthesis_2008
The molecular compartmentalization of neurons contributes to spatially restricted functions such as neurotransmitter release and postsynaptic responses.,TRUE,10,Organic_Synthesis_2008
Dendrites do not require rapid and localized trafficking of postsynaptic proteins for synaptic plasticity.,FALSE,10,Organic_Synthesis_2008
Long-term potentiation (LTP) can increase the strength of synapses in the hippocampus by as much as 800%.,TRUE,11,Organic_Synthesis_2008
LTP induction at CA1 synapses depends exclusively on AMPA receptor activation.,FALSE,11,Organic_Synthesis_2008
Hebbian plasticity involves both presynaptic activity and substantial postsynaptic depolarization.,TRUE,11,Organic_Synthesis_2008
Postsynaptic protein synthesis and phosphorylation of AMPA receptors contribute to LTP expression.,TRUE,11,Organic_Synthesis_2008
Activation of D1 dopamine receptors is required for the late phase of LTP.,TRUE,11,Organic_Synthesis_2008
AMPA receptors are responsible for most of the excitatory currents during basal neuronal activity.,TRUE,12,Organic_Synthesis_2008
NMDA receptors are active at resting membrane potential.,FALSE,12,Organic_Synthesis_2008
AMPA receptor subunit GluR4 is predominantly expressed during early postnatal development.,TRUE,12,Organic_Synthesis_2008
AMPA receptors are assembled in the cytosol and directly trafficked to synapses.,FALSE,12,Organic_Synthesis_2008
Synaptic plasticity is implicated in cognitive functions such as learning and memory.,TRUE,12,Organic_Synthesis_2008
TARPs are exclusively involved in the intracellular trafficking of AMPA receptors.,FALSE,12,Organic_Synthesis_2008
Myosin Vb mediates GluR1 subunit-specific transport from the cell body to the dendrites.,TRUE,12,Organic_Synthesis_2008
Rab5 is primarily responsible for the activity-dependent postsynaptic delivery of AMPARs during LTP.,FALSE,12,Organic_Synthesis_2008
GluR2 subunits play a role in constitutive cycling of AMPA receptors at the synapse.,TRUE,12,Organic_Synthesis_2008
NMDA receptors require only glutamate for activation.,FALSE,12,Organic_Synthesis_2008
Glutamate is removed from the extracellular space primarily through enzymatic degradation.,FALSE,13,Organic_Synthesis_2008
The regulation of quantal size involves changes in vesicle size and the lumenal concentration of neurotransmitter.,TRUE,13,Organic_Synthesis_2008
The primary source of glutamate in synaptic transmission is its synthesis from glucose in the presynaptic neuron.,FALSE,13,Organic_Synthesis_2008
Vesicular glutamate transporter 3 (VGLUT3) is found primarily in known excitatory neurons.,FALSE,13,Organic_Synthesis_2008
The vacuolar H+ pump generates the electrochemical gradient necessary for glutamate transport into synaptic vesicles.,TRUE,13,Organic_Synthesis_2008
"EAAT2 is the most abundant glutamate transporter in the cerebellum, essential for maintaining synapse specificity.",FALSE,13,Organic_Synthesis_2008
GLAST is the major glutamate transporter expressed in Bergmann glial cells of the cerebellum.,TRUE,13,Organic_Synthesis_2008
"Postsynaptic glutamate transporters, such as EAAT4, are critical in regulating the activation of perisynaptic metabotropic glutamate receptors (mGluRs) in Purkinje cells.",TRUE,13,Organic_Synthesis_2008
"EAAT5 transporters primarily function as glutamate transporters in the retina, efficiently clearing extracellular glutamate.",FALSE,13,Organic_Synthesis_2008
Astrocytes play a central role in glutamate clearance at synapses through their high expression of EAAT1 and EAAT2.,TRUE,13,Organic_Synthesis_2008
Synaptic vesicle fusion is typically driven by calcium influx triggered by action potential-mediated depolarization of a presynaptic nerve terminal.,TRUE,14,Organic_Synthesis_2008
"Oligodendrocytes and Schwann cells ensheath axons to form myelin, which supports synaptic communication.",TRUE,14,Organic_Synthesis_2008
"At chemical synapses, the postsynaptic density (PSD) is responsible for converting chemical signals back into electrical impulses.",TRUE,14,Organic_Synthesis_2008
Synapsin is a phosphoprotein that helps tether synaptic vesicles in presynaptic boutons and its association with vesicles is regulated by phosphorylation.,TRUE,14,Organic_Synthesis_2008
"Liprin-alpha (SYD-2) has a key role in presynaptic assembly and AZ organization in multiple species, including mammals and invertebrates.",TRUE,14,Organic_Synthesis_2008
Homeostatic synaptic plasticity ensures neurons maintain stable function in the face of developmental or activity-dependent changes.,TRUE,15,Organic_Synthesis_2008
Hebbian plasticity strengthening synaptic inputs always leads to network stability.,FALSE,15,Organic_Synthesis_2008
"""Homeostatic plasticity"" uses negative feedback mechanisms to stabilize neural activity.",TRUE,15,Organic_Synthesis_2008
Homeostatic synaptic plasticity affects only excitatory synapses in the neuronal circuits.,FALSE,15,Organic_Synthesis_2008
Synaptic scaling adjusts all of a neuron’s excitatory synapses proportionally to stabilize firing.,TRUE,15,Organic_Synthesis_2008
Reductions in visual input hyperactivate cortical neurons due to increased excitatory synapse numbers without affecting inhibitory synapses.,FALSE,15,Organic_Synthesis_2008
"At the neuromuscular junction, compensatory changes in synaptic function can occur without muscle contraction.",TRUE,15,Organic_Synthesis_2008
Brain-derived neurotrophic factor (BDNF) is exclusively released by glia and regulates synaptic scaling.,FALSE,15,Organic_Synthesis_2008
Homeostatic plasticity mechanisms can balance the excitation-inhibition ratio to sustain network stability.,TRUE,15,Organic_Synthesis_2008
The mechanisms underlying homeostatic plasticity of NMDA and AMPA receptor currents are entirely distinct.,FALSE,15,Organic_Synthesis_2008
Neurons rely on stimulus-induced changes in gene expression to modify their structure and function.,TRUE,16,Organic_Synthesis_2008
Signal transduction from the plasma membrane to the nucleus is well characterized and poses no unique challenges in neurons.,FALSE,16,Organic_Synthesis_2008
The morphology of neurons enables processes to extend distances much shorter than the diameter of the cell body.,FALSE,16,Organic_Synthesis_2008
Retrograde transport of signals is crucial for neuron survival and adaptability in both developing and adult nervous systems.,TRUE,16,Organic_Synthesis_2008
"During brain development, transcriptional changes occur as axons navigate and establish potential synaptic connections.",TRUE,16,Organic_Synthesis_2008
"Long-lasting synaptic plasticity, crucial for learning and memory, does not require new transcription.",FALSE,16,Organic_Synthesis_2008
"Axonal injury in mature neurons can lead to the transport of injury-induced signals to the nucleus, triggering axonal regeneration.",TRUE,16,Organic_Synthesis_2008
Mechanisms for signal transduction from distal stimulation sites to the nucleus are fully understood.,FALSE,16,Organic_Synthesis_2008
"Retrograde signaling is only relevant during neuron development, not in adult neurons.",FALSE,16,Organic_Synthesis_2008
Long-distance retrograde signaling plays a role in navigating growth cones during neuronal development.,TRUE,16,Organic_Synthesis_2008
Acid-sensing ion channels (ASICs) are activated by protons in extracellular pH.,TRUE,17,Organic_Synthesis_2008
Synaptic vesicles release both neurotransmitters and protons into the synaptic cleft.,TRUE,17,Organic_Synthesis_2008
ASIC1a is predominantly located in axons.,FALSE,17,Organic_Synthesis_2008
Extracellular alkalosis inhibits NMDA receptor activity.,FALSE,17,Organic_Synthesis_2008
The ASIC1a subunit is the primary contributor to acid-evoked currents in the brain.,TRUE,17,Organic_Synthesis_2008
Sustained extracellular acidosis decreases the excitability of most central neurons.,TRUE,17,Organic_Synthesis_2008
ASIC1a activation only affects sodium ion concentrations in neurons.,FALSE,17,Organic_Synthesis_2008
Inhibition of ASIC1a with PcTx1 has been shown to reduce stroke-related brain damage.,TRUE,17,Organic_Synthesis_2008
ASIC1a overexpression reduces dendritic spine density in hippocampal neurons.,FALSE,17,Organic_Synthesis_2008
Glia contribute to synaptic development and maintenance through calcium action potentials.,FALSE,17,Organic_Synthesis_2008
Glial cells can communicate with both neurons and other glial cells through calcium waves.,TRUE,18,Organic_Synthesis_2008
"Astrocytes are involved exclusively in synaptic maintenance, not synapse formation.",FALSE,18,Organic_Synthesis_2008
"The “tripartite synapse” includes presynaptic neurons, postsynaptic neurons, and astrocytes.",TRUE,18,Organic_Synthesis_2008
"Unlike neurons, glial cells cannot express neurotransmitter receptors.",FALSE,18,Organic_Synthesis_2008
Perisynaptic Schwann cells in the PNS play a role in synaptic repair after injury.,TRUE,18,Organic_Synthesis_2008
NG2 cells are a subtype of glial cells that exclusively function in the developing nervous system.,FALSE,18,Organic_Synthesis_2008
Astrocytes play a role in regulating synaptic plasticity through the secretion of D-serine.,TRUE,18,Organic_Synthesis_2008
"Microglia, like astrocytes, do not directly participate in synaptic pruning.",FALSE,18,Organic_Synthesis_2008
Thrombospondins (TSPs) secreted by astrocytes can induce synapse formation.,TRUE,18,Organic_Synthesis_2008
Glial cells are incapable of modulating synaptic strength through the release of gliotransmitters.,FALSE,18,Organic_Synthesis_2008
The postsynaptic density (PSD) is a dense submembranous structure located at the postsynaptic site of glutamatergic synapses.,TRUE,20,Organic_Synthesis_2008
Philip Siekevitz and Carl Cotman developed methods for purifying PSD-associated proteins in the 1990s.,FALSE,20,Organic_Synthesis_2008
The PSD-95 protein is a member of the MAGUK family and contains three PDZ domains.,TRUE,20,Organic_Synthesis_2008
The primary function of scaffold proteins in the PSD is to destabilize biochemical interactions among signaling proteins.,FALSE,20,Organic_Synthesis_2008
The NR2 tails of NMDA receptors are approximately 600 residues in length and interact with scaffold proteins.,TRUE,20,Organic_Synthesis_2008
AMPA receptor regulation does not involve direct interactions with scaffold proteins such as Stargazin or GRIP.,FALSE,20,Organic_Synthesis_2008
SynGAP is a Ras-GTPase activating protein critical for maintaining synaptic function and plasticity.,TRUE,20,Organic_Synthesis_2008
"Homer proteins interact with group I metabotropic glutamate receptors, such as mGluR1 and mGluR5, via their PDZ domains.",FALSE,20,Organic_Synthesis_2008
Dendritic spines are primarily composed of actin filaments that give them their characteristic shapes.,TRUE,20,Organic_Synthesis_2008
α-Actinin stabilizes NMDA receptors by directly inhibiting their binding to actin filaments.,FALSE,20,Organic_Synthesis_2008
L-type calcium currents require strong depolarization for activation and are blocked by dihydropyridines.,TRUE,21,Organic_Synthesis_2008
T-type calcium currents are prominent in presynaptic nerve terminals and play a major role in neurotransmitter release.,FALSE,21,Organic_Synthesis_2008
CaV2.1 and CaV2.2 channels are the primary calcium entry pathways at fast conventional synapses.,TRUE,21,Organic_Synthesis_2008
The α1 subunit of calcium channels has six transmembrane helices per domain and plays no role in pore formation.,FALSE,21,Organic_Synthesis_2008
Syntaxin-1A binds to the synprint site on CaV2 channels to improve neurotransmitter release efficiency.,TRUE,21,Organic_Synthesis_2008
T-type calcium currents are affected by L-type calcium channel antagonists and certain venoms.,FALSE,21,Organic_Synthesis_2008
Calmodulin is directly involved in Ca2+-dependent regulation of both Cav1 and Cav2 channels.,TRUE,21,Organic_Synthesis_2008
VILIP-2 suppresses calcium-dependent facilitation and acceleration of Cav2.1 inactivation.,FALSE,21,Organic_Synthesis_2008
The SNARE complex interacts with synaptotagmin at low Ca2+ concentrations to drive synaptic vesicle fusion.,FALSE,21,Organic_Synthesis_2008
Cav2.2 channels require interaction with SNARE proteins for efficient neurotransmitter release.,TRUE,21,Organic_Synthesis_2008
Nociceptive pain is caused by the pathological dysfunction of the nervous system.,FALSE,22,Organic_Synthesis_2008
Chronic pain can persist long after the initiating nociceptive pain subsides.,TRUE,22,Organic_Synthesis_2008
"In the dorsal horn, nociceptive inputs to second-order neurons are mediated by glycine receptors.",FALSE,22,Organic_Synthesis_2008
Central sensitization can result in increased responses from previously subthreshold inputs in nociceptive neurons.,TRUE,22,Organic_Synthesis_2008
Microglia in the spinal cord are primarily involved in acute nociceptive pain mechanisms.,FALSE,22,Organic_Synthesis_2008
The activation of NMDA receptors in the dorsal horn requires calcium influx and relief of magnesium blockade.,TRUE,22,Organic_Synthesis_2008
Windup is a form of long-term potentiation in nociceptive neurons that persists for several hours.,FALSE,22,Organic_Synthesis_2008
P2X4 receptors on microglia are activated by ATP and contribute to the development of mechanical allodynia.,TRUE,22,Organic_Synthesis_2008
"Allodynia is caused by peripheral changes in the sensory neurons, completely independent of central nervous system processing.",FALSE,22,Organic_Synthesis_2008
"BDNF released by microglia in the dorsal horn reduces inhibition in neurons, contributing to neuropathic pain hypersensitivity.",TRUE,22,Organic_Synthesis_2008
GABA_A receptors are primarily responsible for fast inhibitory neurotransmission in the mammalian central nervous system.,TRUE,23,Organic_Synthesis_2008
"Glycine receptors are found exclusively in the brainstem and spinal cord, never in the mammalian brain.",FALSE,23,Organic_Synthesis_2008
GABA_A receptors and glycine receptors are pentameric ligand-gated ion channels.,TRUE,23,Organic_Synthesis_2008
"GABA_A receptor activation allows calcium ions to flow into the cell, leading to depolarization.",FALSE,23,Organic_Synthesis_2008
"Gephyrin plays a role in clustering glycine and some GABA_A receptors at synapses, stabilizing inhibitory neurotransmission.",TRUE,23,Organic_Synthesis_2008
The GABA_A receptor γ2 subunit is critical for benzodiazepine sensitivity.,TRUE,23,Organic_Synthesis_2008
The primary neurotransmitter binding site of GABA_A receptors is located solely on the γ subunit.,FALSE,23,Organic_Synthesis_2008
GABA_A receptors can be modulated allosterically by compounds such as benzodiazepines and barbiturates.,TRUE,23,Organic_Synthesis_2008
Gephyrin directly interacts with all GABA_A receptor subtypes at inhibitory synapses.,FALSE,23,Organic_Synthesis_2008
"Extracellular protons can modulate acid-sensing ion channels (ASICs), which play a role in synaptic signaling.",TRUE,23,Organic_Synthesis_2008
Stroke is the fourth most common cause of death in the United States.,FALSE,24,Organic_Synthesis_2008
Global ischemia affects the entire brain and may occur after cardiac arrest.,TRUE,24,Organic_Synthesis_2008
The hippocampus is primarily associated with motor function loss after a stroke.,FALSE,24,Organic_Synthesis_2008
Tissue plasminogen activator (tPA) is effective for treating both thrombotic and hemorrhagic strokes.,FALSE,24,Organic_Synthesis_2008
Reduced ATP levels due to ischemia can lead to disrupted ion gradients in brain cells.,TRUE,24,Organic_Synthesis_2008
Experimental stroke models using rats often perform permanent occlusion of multiple arteries.,TRUE,24,Organic_Synthesis_2008
NMDA receptor antagonists have become widely approved for clinical stroke treatment.,FALSE,24,Organic_Synthesis_2008
Spine recovery occurs at the same dendritic locations where the spines were lost if ischemia is transient.,TRUE,24,Organic_Synthesis_2008
Post-synaptic regions are more vulnerable to ischemic damage than pre-synaptic regions.,TRUE,24,Organic_Synthesis_2008
Heat shock proteins are more likely to induce tolerance to ischemia than NMDA receptor activation.,FALSE,24,Organic_Synthesis_2008
Membrane fusion requires specialized proteins to overcome electrostatic forces between charged lipid head groups.,TRUE,25,Organic_Synthesis_2008
Synaptic vesicle fusion typically occurs in response to Na+ influx triggered by action potential-mediated depolarization.,FALSE,25,Organic_Synthesis_2008
Synaptic vesicle fusion is restricted to a region called the active zone of the presynaptic terminal.,TRUE,25,Organic_Synthesis_2008
Spontaneous synaptic vesicle fusion occurs at a high probability in the absence of action potentials.,FALSE,25,Organic_Synthesis_2008
The SNARE protein complex plays a key role in synaptic vesicle fusion and neurotransmitter release.,TRUE,25,Organic_Synthesis_2008
"Synaptobrevin, syntaxin-1, and SNAP-25 each contribute two SNARE motifs to the synaptic SNARE complex.",FALSE,25,Organic_Synthesis_2008
Munc13 and munc18 regulate SNARE-dependent membrane fusion by facilitating complex assembly at the active zone.,TRUE,25,Organic_Synthesis_2008
The rapid and Ca2+-dependent nature of synaptic vesicle fusion is solely explained by SNARE proteins.,FALSE,25,Organic_Synthesis_2008
The role of complexins in synaptic transmission involves stabilizing SNARE complexes during vesicle priming.,TRUE,25,Organic_Synthesis_2008
"""Kiss-and-run"" fusion results in complete mixing of synaptic vesicle and plasma membrane components.",FALSE,25,Organic_Synthesis_2008
NMDA receptors play a role at excitatory glutamatergic synapses and pass both sodium and calcium ions upon activation.,TRUE,26,Organic_Synthesis_2008
"The NMDA receptor complex is formed by trimeric proteins consisting of NR1, NR2, and NR3 subunits.",FALSE,26,Organic_Synthesis_2008
"Knockout of NR1 subunit in mice leads to death shortly after birth, underscoring its importance in normal nervous system function.",TRUE,26,Organic_Synthesis_2008
"NR2B subunits of NMDA receptors decrease with age in the forebrain, and NR2A replaces them as the dominant subunit.",TRUE,26,Organic_Synthesis_2008
The NR3A subunit expression is highest during adulthood and predominantly found in motor neurons of the spinal cord.,FALSE,26,Organic_Synthesis_2008
Calcium influx through NMDA receptors is critical for synaptic plasticity but not implicated in neurotoxicity.,FALSE,26,Organic_Synthesis_2008
Clathrin-mediated endocytosis is a primary mechanism involved in the removal of NMDA receptors from the synaptic membrane.,TRUE,26,Organic_Synthesis_2008
PSD-95 knockout in mice leads to complete elimination of NMDA receptors from synaptic sites.,FALSE,26,Organic_Synthesis_2008
"NR2A-containing NMDA receptors are associated with long-term potentiation (LTP), whereas NR2B-containing receptors are more associated with long-term depression (LTD).",TRUE,26,Organic_Synthesis_2008
Synaptic localization of NR2A subunits depends on the NR2A subunit’s tyrosine phosphorylation by Src kinase.,FALSE,26,Organic_Synthesis_2008
Passive dendritic trees can be reduced to a single equivalent cylinder under specific conditions.,TRUE,1,Koch
The electrotonic length between dendritic sites always provides an accurate measure of voltage attenuation.,FALSE,1,Koch
The membrane resistance (\(R_m\)) significantly affects the rise time of fast synaptic inputs in thin dendrites.,FALSE,1,Koch
The transfer impedance (\(K_{ij}\)) is frequency-dependent and symmetric for reciprocal locations in a dendritic tree.,TRUE,1,Koch
Voltage attenuation is always symmetric between two sites in a dendritic tree.,FALSE,1,Koch
A dendrite's local delay \(D_{ii}\) can be significantly shorter than the membrane time constant (\(T_m\)) in distal dendritic sites.,TRUE,1,Koch
"For sustained synaptic input, the voltage attenuation from distal dendritic sites to the soma is smaller than the voltage attenuation from the soma to the dendrites.",FALSE,1,Koch
Morphoelectrotonic Transforms (METs) visually represent the electroanatomy of neurons by replacing anatomical length with functional measures.,TRUE,1,Koch
The peak depolarization in thin dendrites due to fast synaptic input is independent of the membrane resistance (\(R_m\)).,TRUE,1,Koch
Realistic neurons strictly follow the assumptions required to be modeled as equivalent cylinders.,FALSE,1,Koch
Hodgkin and Huxley's model of action potentials accounts for the adaptation of firing frequency to long-lasting stimuli.,FALSE,2,Koch
The delayed rectifier potassium current is denoted as /K or /DR throughout the text.,TRUE,2,Koch
"Calcium currents are only present in specific neurons, such as sensory neurons.",FALSE,2,Koch
Voltage-dependent calcium channels regulate the influx of calcium ions into neurons.,TRUE,2,Koch
Calcium currents are typically activated by hyperpolarization of the membrane potential.,FALSE,2,Koch
